mode,dt_over_guo,dt_over_lattice,dt,dt_guo,dt_lattice,exit_code,finite,max_tip_displacement,stable
axial,0.8,0.7958954587135163,2.0655911179772893e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,True,4.3485898736e-09,True
axial,0.9,0.8953823910527058,2.3237900077244503e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,True,4.1838769185e-09,True
axial,0.91,0.9053310842866247,2.3496098966991662e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,True,4.3109680374e-09,True
axial,0.92,0.9152797775205437,2.3754297856738826e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,True,4.1561939515e-09,True
axial,0.93,0.9252284707544626,2.4012496746485985e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,True,4.1774343741e-09,True
axial,0.94,0.9351771639883815,2.4270695636233144e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,True,4.0776765645e-09,True
axial,0.95,0.9451258572223006,2.452889452598031e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,True,4.0502327568e-09,True
axial,0.96,0.9550745504562194,2.4787093415727467e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,True,4.0693710485e-09,True
axial,0.97,0.9650232436901385,2.504529230547463e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,True,4.0039489155e-09,True
axial,0.98,0.9749719369240574,2.530349119522179e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,True,3.889838264e-09,True
axial,0.99,0.9849206301579764,2.5561690084968954e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,True,3.750439969e-09,True
axial,1.0,0.9948693233918953,2.5819888974716113e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,True,2.581988897e-09,True
axial,1.01,1.004818016625814,2.6078087864463272e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,False,inf,False
axial,1.02,1.0147667098597333,2.6336286754210436e-06,2.5819888974716113e-06,2.5953045658987755e-06,0,False,inf,False
bending,0.8,0.8000927090472724,2.0655911179772893e-06,2.5819888974716113e-06,2.581689714979326e-06,0,True,1.8149957869e-07,True
bending,0.9,0.9001042976781813,2.3237900077244503e-06,2.5819888974716113e-06,2.581689714979326e-06,0,True,1.8138598116e-07,True
bending,0.91,0.9101054565412722,2.3496098966991662e-06,2.5819888974716113e-06,2.581689714979326e-06,0,True,1.8131662781e-07,True
bending,0.92,0.9201066154043631,2.3754297856738826e-06,2.5819888974716113e-06,2.581689714979326e-06,0,True,1.8115046255e-07,True
bending,0.93,0.9301077742674541,2.4012496746485985e-06,2.5819888974716113e-06,2.581689714979326e-06,0,True,1.8125727309e-07,True
bending,0.94,0.9401089331305449,2.4270695636233144e-06,2.5819888974716113e-06,2.581689714979326e-06,0,True,1.8133899243e-07,True
bending,0.95,0.9501100919936358,2.452889452598031e-06,2.5819888974716113e-06,2.581689714979326e-06,0,True,1.8123179241e-07,True
bending,0.96,0.9601112508567267,2.4787093415727467e-06,2.5819888974716113e-06,2.581689714979326e-06,0,True,1.8116765035e-07,True
bending,0.97,0.9701124097198177,2.504529230547463e-06,2.5819888974716113e-06,2.581689714979326e-06,0,True,1.8110250418e-07,True
bending,0.98,0.9801135685829085,2.530349119522179e-06,2.5819888974716113e-06,2.581689714979326e-06,0,True,1.8126735548e-07,True
bending,0.99,0.9901147274459995,2.5561690084968954e-06,2.5819888974716113e-06,2.581689714979326e-06,0,True,1.8120331428e-07,True
bending,1.0,1.0001158863090904,2.5819888974716113e-06,2.5819888974716113e-06,2.581689714979326e-06,0,False,inf,False
bending,1.01,1.0101170451721813,2.6078087864463272e-06,2.5819888974716113e-06,2.581689714979326e-06,0,False,inf,False
bending,1.02,1.020118204035272,2.6336286754210436e-06,2.5819888974716113e-06,2.581689714979326e-06,0,False,inf,False
