step,strain,stress_pa,stress_norm,intact_bonds,broken_bonds
110,0.001833333,129983333.333333,0.652854512,433,0
111,0.001850000,131165000.000000,0.658789553,433,0
112,0.001866667,132346666.666667,0.664724594,433,0
113,0.001883333,133528333.333333,0.670659635,433,0
114,0.001900000,134710000.000000,0.676594676,433,0
115,0.001916667,135891666.666667,0.682529717,433,0
116,0.001933333,137073333.333333,0.688464758,433,0
117,0.001950000,138255000.000000,0.694399799,433,0
118,0.001966667,139436666.666667,0.700334840,433,0
119,0.001983333,140618333.333333,0.706269881,433,0
120,0.002000000,141800000.000000,0.712204922,433,0
121,0.002016667,142981666.666667,0.718139963,433,0
122,0.002033333,144163333.333333,0.724075004,433,0
123,0.002050000,145345000.000000,0.730010045,433,0
124,0.002066667,146526666.666667,0.735945086,433,0
125,0.002083333,147708333.333333,0.741880127,433,0
126,0.002100000,148890000.000000,0.747815168,433,0
127,0.002116667,150071666.666667,0.753750209,433,0
128,0.002133333,151253333.333333,0.759685250,433,0
129,0.002150000,152435000.000000,0.765620291,433,0
130,0.002166667,153616666.666667,0.771555332,433,0
131,0.002183333,154798333.333333,0.777490373,433,0
132,0.002200000,155980000.000000,0.783425414,433,0
133,0.002216667,157161666.666667,0.789360455,433,0
134,0.002233333,158343333.333333,0.795295496,433,0
135,0.002250000,159525000.000000,0.801230537,433,0
136,0.002266667,160706666.666667,0.807165578,433,0
137,0.002283333,161888333.333333,0.813100619,433,0
138,0.002300000,163070000.000000,0.819035660,433,0
139,0.002316667,164251666.666667,0.824970701,433,0
140,0.002333333,165433333.333333,0.830905743,433,0
141,0.002350000,166615000.000000,0.836840784,433,0
142,0.002366667,167796666.666667,0.842775825,433,0
143,0.002383333,168978333.333333,0.848710866,433,0
144,0.002400000,170160000.000000,0.854645907,433,0
145,0.002416667,171341666.666667,0.860580948,433,0
146,0.002433333,172523333.333333,0.866515989,433,0
147,0.002450000,173705000.000000,0.872451030,433,0
148,0.002466667,174886666.666667,0.878386071,433,0
149,0.002483333,176068333.333333,0.884321112,433,0
150,0.002500000,177250000.000000,0.890256153,433,0
151,0.002516667,178431666.666667,0.896191194,433,0
152,0.002533333,179613333.333333,0.902126235,433,0
153,0.002550000,180795000.000000,0.908061276,433,0
154,0.002566667,181976666.666667,0.913996317,433,0
155,0.002583333,183158333.333333,0.919931358,433,0
156,0.002600000,183191465.856495,0.920097769,431,2
157,0.002616667,179760999.054268,0.902867901,423,10
158,0.002633333,174584085.892686,0.876866328,412,21
159,0.002650000,172816777.052341,0.867989840,407,26
160,0.002666667,169304973.668345,0.850351450,399,34
161,0.002683333,164053322.469621,0.823974498,388,45
162,0.002700000,159354843.830486,0.800375911,378,55
163,0.002716667,157481974.774258,0.790969235,373,60
164,0.002733333,155587509.107747,0.781454089,368,65
165,0.002750000,152529902.098765,0.766096947,361,72
166,0.002766667,150592003.074261,0.756363652,356,77
167,0.002783333,148633739.049821,0.746528072,351,82
168,0.002800000,147227994.883399,0.739467579,347,86
169,0.002816667,144221833.208068,0.724368826,341,92
170,0.002833333,140806625.148805,0.707215596,335,98
171,0.002850000,136849208.201697,0.687339067,328,105
172,0.002866667,130133814.923634,0.653610321,316,117
173,0.002883333,126257314.369687,0.634140203,309,124
174,0.002900000,122411430.446992,0.614823860,302,131
175,0.002916667,118054214.536076,0.592939300,294,139
176,0.002933333,114813368.384754,0.576661820,288,145
177,0.002950000,112130636.632482,0.563187527,283,150
178,0.002966667,109996350.033211,0.552467856,279,154
179,0.002983333,104707593.418031,0.525904538,269,164
180,0.003000000,104182451.346672,0.523266958,268,165
181,0.003016667,102611144.053912,0.515374907,265,168
182,0.003033333,100006129.602818,0.502290957,260,173
183,0.003050000,94848749.980068,0.476387494,250,183
184,0.003066667,91788625.288135,0.461017706,244,189
185,0.003083333,90268371.468886,0.453382077,241,192
186,0.003100000,88251656.731549,0.443252922,237,196
187,0.003116667,84751067.776430,0.425670858,230,203
188,0.003133333,82273315.552902,0.413226095,225,208
189,0.003150000,79814761.283751,0.400877756,220,213
190,0.003166667,77861929.897545,0.391069462,216,217
191,0.003183333,75438651.154988,0.378898298,211,222
192,0.003200000,71603170.232255,0.359634205,203,230
193,0.003216667,70652458.310649,0.354859158,201,232
194,0.003233333,67820240.465077,0.340634056,195,238
195,0.003250000,64554377.335203,0.324230926,188,245
196,0.003266667,62707091.984239,0.314952747,184,249
197,0.003283333,59962482.271065,0.301167666,178,255
198,0.003300000,57699870.597782,0.289803469,173,260
199,0.003316667,53684856.282407,0.269637651,164,269
200,0.003333333,52363363.188405,0.263000317,161,272
201,0.003350000,50180017.418253,0.252034241,156,277
202,0.003366667,47592202.048035,0.239036675,150,283
203,0.003383333,45886924.975873,0.230471748,146,287
204,0.003400000,45040371.530320,0.226219847,144,289
205,0.003416667,45040371.530320,0.226219847,144,289
206,0.003433333,45040371.530320,0.226219847,144,289
207,0.003450000,45040371.530320,0.226219847,144,289
208,0.003466667,45040371.530320,0.226219847,144,289
209,0.003483333,45040371.530320,0.226219847,144,289
210,0.003500000,45040371.530320,0.226219847,144,289
211,0.003516667,45040371.530320,0.226219847,144,289
212,0.003533333,45040371.530320,0.226219847,144,289
213,0.003550000,45040371.530320,0.226219847,144,289
214,0.003566667,45040371.530320,0.226219847,144,289
215,0.003583333,45040371.530320,0.226219847,144,289
216,0.003600000,45040371.530320,0.226219847,144,289
217,0.003616667,45040371.530320,0.226219847,144,289
218,0.003633333,45040371.530320,0.226219847,144,289
219,0.003650000,45040371.530320,0.226219847,144,289
220,0.003666667,45040371.530320,0.226219847,144,289
221,0.003683333,45040371.530320,0.226219847,144,289
222,0.003700000,45040371.530320,0.226219847,144,289
223,0.003716667,45040371.530320,0.226219847,144,289
224,0.003733333,45040371.530320,0.226219847,144,289
225,0.003750000,45040371.530320,0.226219847,144,289
226,0.003766667,45040371.530320,0.226219847,144,289
227,0.003783333,45040371.530320,0.226219847,144,289
228,0.003800000,45040371.530320,0.226219847,144,289
229,0.003816667,45040371.530320,0.226219847,144,289
230,0.003833333,45040371.530320,0.226219847,144,289
231,0.003850000,45040371.530320,0.226219847,144,289
232,0.003866667,45040371.530320,0.226219847,144,289
233,0.003883333,45040371.530320,0.226219847,144,289
234,0.003900000,45040371.530320,0.226219847,144,289
235,0.003916667,45040371.530320,0.226219847,144,289
236,0.003933333,45040371.530320,0.226219847,144,289
237,0.003950000,45040371.530320,0.226219847,144,289
238,0.003966667,45040371.530320,0.226219847,144,289
239,0.003983333,45040371.530320,0.226219847,144,289
240,0.004000000,45040371.530320,0.226219847,144,289
