step,strain,x_m,y_m,mode
172,0.002866667,0.007458824,0.000000000,tensile
172,0.002866667,-0.022376471,0.007458824,tensile
172,0.002866667,0.003729412,0.029835294,tensile
172,0.002866667,0.018647059,0.029835294,tensile
172,0.002866667,0.029835294,0.044752941,tensile
172,0.002866667,0.011188235,0.059670588,tensile
173,0.002883333,-0.014917647,-0.052211765,tensile
173,0.002883333,-0.029835294,-0.037294118,tensile
173,0.002883333,-0.011188235,0.007458824,tensile
173,0.002883333,0.011188235,0.007458824,tensile
173,0.002883333,0.014917647,0.037294118,tensile
173,0.002883333,0.022376471,0.037294118,tensile
173,0.002883333,0.007458824,0.059670588,tensile
174,0.002900000,-0.026105882,-0.044752941,tensile
174,0.002900000,0.003729412,-0.037294118,tensile
174,0.002900000,-0.007458824,-0.022376471,tensile
174,0.002900000,0.022376471,0.000000000,tensile
174,0.002900000,-0.007458824,0.007458824,tensile
174,0.002900000,0.018647059,0.007458824,tensile
174,0.002900000,-0.003729412,0.052211765,tensile
175,0.002916667,0.007458824,-0.029835294,tensile
175,0.002916667,0.007458824,-0.014917647,tensile
175,0.002916667,0.018647059,-0.007458824,tensile
175,0.002916667,0.018647059,0.000000000,tensile
175,0.002916667,0.014917647,0.007458824,tensile
175,0.002916667,0.018647059,0.014917647,tensile
175,0.002916667,-0.011188235,0.037294118,tensile
175,0.002916667,0.014917647,0.059670588,tensile
176,0.002933333,0.011188235,-0.029835294,tensile
176,0.002933333,0.011188235,-0.022376471,tensile
176,0.002933333,0.014917647,-0.014917647,tensile
176,0.002933333,0.018647059,-0.014917647,tensile
176,0.002933333,-0.018647059,0.000000000,tensile
176,0.002933333,-0.007458824,0.029835294,tensile
177,0.002950000,0.026105882,-0.029835294,tensile
177,0.002950000,-0.003729412,-0.014917647,tensile
177,0.002950000,0.011188235,-0.014917647,tensile
177,0.002950000,-0.007458824,0.022376471,tensile
177,0.002950000,0.022376471,0.022376471,tensile
178,0.002966667,-0.003729412,-0.059670588,tensile
178,0.002966667,-0.007458824,0.014917647,tensile
178,0.002966667,-0.029835294,0.022376471,tensile
178,0.002966667,-0.018647059,0.059670588,tensile
179,0.002983333,-0.007458824,-0.059670588,tensile
179,0.002983333,0.000000000,-0.059670588,tensile
179,0.002983333,-0.003729412,-0.052211765,tensile
179,0.002983333,0.029835294,-0.052211765,tensile
179,0.002983333,-0.014917647,-0.022376471,tensile
179,0.002983333,-0.007458824,-0.007458824,tensile
179,0.002983333,-0.029835294,0.007458824,tensile
179,0.002983333,0.000000000,0.022376471,tensile
179,0.002983333,-0.029835294,0.029835294,tensile
179,0.002983333,-0.011188235,0.029835294,tensile
180,0.003000000,-0.003729412,-0.044752941,tensile
181,0.003016667,-0.007458824,-0.044752941,tensile
181,0.003016667,0.003729412,-0.044752941,tensile
181,0.003016667,0.003729412,0.052211765,tensile
182,0.003033333,-0.029835294,-0.059670588,tensile
182,0.003033333,-0.014917647,0.014917647,tensile
182,0.003033333,0.007458824,0.014917647,tensile
182,0.003033333,-0.014917647,0.044752941,tensile
182,0.003033333,0.011188235,0.044752941,tensile
183,0.003050000,0.003729412,-0.059670588,tensile
