phase,delta,force
loading,0.0,0.0
loading,1.3483146067415729e-05,0.029011888549357146
loading,2.6966292134831458e-05,0.08659185095115253
loading,4.044943820224719e-05,0.14366239205663245
loading,5.3932584269662916e-05,0.20022821583235753
loading,6.741573033707865e-05,0.25629398570341017
loading,8.089887640449438e-05,0.3118643248785813
loading,9.438202247191011e-05,0.36694381667306836
loading,0.00010786516853932583,0.42153700482870493
loading,0.00012134831460674156,0.4756483938317363
loading,0.0001348314606741573,0.5292824492281625
loading,0.000148314606741573,0.5824435979366642
loading,0.00016179775280898877,0.6351362285591334
loading,0.00017528089887640448,0.6873646916888206
loading,0.00018876404494382021,0.7391333002161232
loading,0.00020224719101123595,0.7904463296320245
loading,0.00021573033707865166,0.8413080183292112
loading,0.0002292134831460674,0.8917225679008727
loading,0.0002426966292134831,0.9416941434372159
loading,0.0002561797752808988,0.9912268738196957
loading,0.0002696629213483146,1.0403248520129935
loading,0.0002831460674157303,1.088992135354747
loading,0.000296629213483146,1.137232745843057
loading,0.00031011235955056177,1.1850506704217871
loading,0.00032359550561797753,1.2324498612636654
loading,0.00033707865168539324,1.2794342360512112
loading,0.00035056179775280896,1.3260076782555061
loading,0.0003640449438202247,1.3721740374128146
loading,0.00037752808988764043,1.4179371293990746
loading,0.00039101123595505614,1.463300736702285
loading,0.0004044943820224719,1.508268608692785
loading,0.0004179775280898876,1.5528444618914583
loading,0.0004314606741573033,1.597031980235874
loading,0.00044494382022471904,1.6408348153443637
loading,0.0004584269662921348,1.6842565867780845
loading,0.0004719101123595505,1.7273008823010372
loading,0.0004853932584269662,1.7699712581381037
loading,0.000498876404494382,1.8122712392310731
loading,0.0005123595505617976,1.854204319492705
loading,0.0005258426966292134,1.8957739620588316
loading,0.0005393258426966292,1.9369835995385056
loading,0.0005528089887640448,1.9778366342622251
loading,0.0005662921348314606,2.0183364385282374
loading,0.0005797752808988764,2.058486354846936
loading,0.000593258426966292,2.0982896961833815
loading,0.0006067415730337078,2.137749746197932
loading,0.0006202247191011235,2.1768697594850215
loading,0.0006337078651685392,2.2156529618100937
loading,0.0006471910112359551,2.2541025503446943
loading,0.0006606741573033707,2.292221693899751
loading,0.0006741573033707865,2.330013533157047
loading,0.0006876404494382023,2.3674811808988983
loading,0.0007011235955056179,2.404627722236053
loading,0.0007146067415730336,2.44145621483383
loading,0.0007280898876404494,2.4779696891364997
loading,0.0007415730337078651,2.5141711485899267
loading,0.0007550561797752809,2.550063569862485
loading,0.0007685393258426965,2.5856499030642626
loading,0.0007820224719101123,2.6209330719645654
loading,0.0007955056179775279,2.655915974207729
