step,axial_strain,sxx,syy,lx,ly
0,-1.8751950696955200838e-16,243.68748451448399805,253.06690358015399056,0.0066077829296313748964,0.0092508961014838714254
200,0.00099499999999990893472,201.61603525736600773,241.49235275545899526,0.0066077829296313748964,0.0092416914598628940869
400,0.0019949999999998701411,182.62638026236700739,240.04864923137500909,0.0066077829296313748964,0.0092324405637614105624
600,0.0029949999999998298296,177.68329069928398667,204.95105479341799537,0.0066077829296313748964,0.0092231896676599270379
800,0.0039949999999997999264,171.49706520155498879,195.23151276016599809,0.0066077829296313748964,0.0092139387715584435135
1000,0.0049949999999997600486,158.10491592578298992,189.56765887424299422,0.0066077829296313748964,0.009204687875456959989
1200,0.0059949999999997201708,152.65778997844699916,191.72406608485599122,0.0066077829296313748964,0.0091954369793554764645
1400,0.006994999999999680293,140.24382919389100266,188.87041486171600013,0.0066077829296313748964,0.00918618608325399294
1600,0.0079949999999996499561,135.35457039852698813,191.98298680183199849,0.0066077829296313748964,0.0091769351871525094155
1800,0.0089949999999999908501,133.97785684071598666,191.65035175801901346,0.0066077829296313748964,0.0091676842910510224216
2000,0.0099949999999999501049,127.97203106533299888,194.96433619939298865,0.0066077829296313748964,0.0091584333949495388971
2200,0.010994999999999900686,129.86701639692398658,200.93075610963799704,0.0066077829296313748964,0.0091491824988480553726
2400,0.01199499999999989984,131.34174848154501092,202.85762382854198904,0.0066077829296313748964,0.0091399316027465718482
2600,0.012994999999999800114,137.45759097578999786,204.55093336796801395,0.0066077829296313748964,0.0091306807066450883237
2800,0.013994999999999799267,136.62589763499099149,209.81622763011898769,0.0066077829296313748964,0.0091214298105436047992
3000,0.014994999999999800155,140.64749563553598932,213.27889210100900641,0.0066077829296313748964,0.0091121789144421212747
3200,0.01599499999999970043,142.48608078367900021,220.40522119026900327,0.0066077829296313748964,0.0091029280183406377502
3400,0.016994999999999701318,145.24696675355099273,225.72616147905401363,0.0066077829296313748964,0.0090936771222391542258
3600,0.017994999999999698737,146.44483504363299176,231.58073232461001112,0.0066077829296313748964,0.0090844262261376707013
3800,0.018995000000000001467,150.56554333487400754,236.34757587968400117,0.0066077829296313748964,0.0090751753300361837073
4000,0.019994999999999998885,152.07764395015701098,241.7310840600989934,0.0066077829296313748964,0.0090659244339347001829
4200,0.02099499999999989916,153.75702711321000038,247.95260794718899433,0.0066077829296313748964,0.0090566735378332166584
4400,0.021994999999999900048,156.3873698842220108,255.73075094339898783,0.0066077829296313748964,0.0090474226417317331339
