kind,x_over_span,dem,theory,abs_err
deflection,0.0,-0.0,0.0,0.0
deflection,0.11111111111111112,0.017316019129629632,0.01783264746227709,0.0005166283326474598
deflection,0.22222222222222224,0.06687216407407408,0.06858710562414266,0.0017149415500685855
deflection,0.33333333333333337,0.14452259703703707,0.14814814814814817,0.003625551111111097
deflection,0.4444444444444445,0.2461316444444445,0.252400548696845,0.006268904252400481
deflection,0.5555555555555556,0.3675994722222223,0.37722908093278473,0.009629608710562454
deflection,0.6666666666666667,0.5048744351851853,0.5185185185185186,0.013644083333333334
deflection,0.7777777777777779,0.6539545592592594,0.6721536351165984,0.018199075857339042
deflection,0.888888888888889,0.8108805611111112,0.8340192043895749,0.02313864327846371
deflection,1.0,0.971722738888889,1.0,0.028277261111110952
moment,0.05555555555555556,0.9265353482011518,0.9444444444444444,0.01790909624329262
moment,0.16666666666666669,0.8163587686867807,0.8333333333333333,0.01697456464655256
moment,0.2777777777777778,0.7064661969666667,0.7222222222222222,0.015756025255555528
moment,0.38888888888888895,0.596951771279789,0.611111111111111,0.014159339831322004
moment,0.5,0.48784022201247323,0.5,0.012159777987526765
moment,0.6111111111111112,0.3790984999405046,0.38888888888888884,0.009790388948384243
moment,0.7222222222222222,0.27064711417262605,0.2777777777777778,0.007130663605151744
moment,0.8333333333333334,0.16237106163879056,0.16666666666666663,0.0042956050278760705
moment,0.9444444444444445,0.054130306768346736,0.05555555555555547,0.0014252487872087327
