norm_load,force,tip_norm,theory_tip_norm,tip_rel_err,bond_count,bonds_broken
0.05,0.030300855069346013,0.01654808161619048,0.016666666666666666,0.007115103028571199,9.0,0.0
0.1,0.060601710138692026,0.03306916298253969,0.03333333333333333,0.007925110523809356,9.0,0.0
0.15,0.09090256520803802,0.04953650376825397,0.049999999999999996,0.009269924634920518,9.0,0.0
0.2,0.12120342027738405,0.06592387733809524,0.06666666666666667,0.011141839928571415,9.0,0.0
0.45,0.27270769562411407,0.14551750653650794,0.15,0.029883289756613696,9.0,0.0
