tag,type,x,y,z,vx,vy,vz,fx,fy,fz,radius
856,0,-53452.44575427425,-23010.678588250405,2.5209399485932558,0,0,0,0,0,0,1.25
459,0,-13925.154682484606,-19166.891356952627,33807.31037947657,0,0,0,0,0,0,1.25
125,0,-133402.92034041026,-4784919.602359477,1651047.769126138,0,0,0,0,0,0,1.25
542,0,-14913758567064.232,-9995671946576.58,12835622577474.904,0,0,0,0,0,0,1.25
495,0,-1032550.3375394023,1065373.0234543027,-270479.51800843404,0,0,0,0,0,0,1.25
425,0,-102599.26899441908,202397.72173863553,156259.5424596746,0,0,0,0,0,0,1.25
153,0,2.5727420291698886,0.9242512459420241,3.3010082479073977,0,0,0,0,0,0,1.25
29,0,1.0023542187941306,2.556400483984201,1.7095803247373964,0,0,0,0,0,0,1.25
177,0,2.5878113061457064,2.5549729766717078,3.3461243997421946,0.006475843426855741,0.006682954866159175,0.0016015193731064791,2.5793492309490063,2.6640402309395825,0.6367725073074844,1.25
152,0,1.8331042418037187,0.12354365137455313,3.265975708922675,-0.0014804069433507966,-0.0023036310989681215,-0.003601945143847446,-0.5927196821690436,-0.9180804446654883,-1.4359997725180738,1.25
7,0,0.2281343219950162,1.0782335090914528,2.5744937935624947,-0.0044927711194250935,-0.003295650451459978,0.010259542070742,-5.177748605080918,0.6470376885997435,4.247773853510216,1.25
150,0,2.588183606073937,0.09447226489180528,2.4906298624873093,-0.0012549870276809963,-0.006503927112878586,-0.0010978943702520793,-0.5037168366222665,-2.5954367231969626,-0.43916312636645793,1.25
176,0,1.8775556419967026,1.79834456479748,3.3492745580757197,0.0069874335410756465,-0.007241547650650658,0.0020947304861321384,2.8314037557155634,-2.8914596725203903,0.827041920606589,1.25
4,0,0.3764789235207686,0.09266346477549511,1.6287968027178714,-0.0019362872243515422,0.0009813418035154449,-0.003450371772921273,-0.06830728992755553,1.8693304040605478,0.02085550840201078,1.25
149,0,2.6263554932144832,0.9121956646320324,1.6436236262010258,-0.0033926954845186976,-0.0028618384129253955,0.0032127444976882483,-1.3512036744662386,-1.1421887224214522,1.2757926247033977,1.25
196,0,1.8059769996818142,3.3162407526984823,1.705250016570315,-0.00477470238409185,0.0015130415584905152,0.001909390666319669,-1.1238165290031867,0.8050602437399086,0.8843291425812011,1.25
26,0,0.9724787027577226,1.80672647983173,0.8811795262593425,-0.004636034036032819,0.0008392537275540083,0.00615828162591959,-1.8463747591642203,0.333101975399175,2.4628350480667085,1.25
174,0,2.595004166671341,1.732955152552626,2.5084834409357795,-0.00444235010245022,0.003354059347534976,0.00014979630704533471,-1.7740407302948076,1.339807341407025,0.05691721117809521,1.25
1,0,1.0216772295839092,1.0132072687159244,0.0557107226069637,0.0020244777388325843,-0.0022173908175199364,0.00903215424344816,0.986938525829641,0.4725664836300506,-0.937218024533723,1.25
148,0,1.7885289205201071,0.13925020449238967,1.6793484194264154,0,0,0,0.7728948044221355,-7.412111073493575,0.19238809502705323,1.25
229,0,0.07705585694516842,1.920110870158764,1.7896521996635826,0,0,0,17.9257653811371,-29.63708410182995,-7.0401120457973745,1.25
340,0,3.3295186142155493,3.3140963351053645,1.663613611731385,0,0,0,2.152476879156237,1.3384171508572489,-1.6384286988568806,1.25
151,0,1.8901667529623871,0.9299373643572548,2.4079762672685128,0,0,0,-5.119071069956388,-0.13931617759478404,4.509933254786522,1.25
25,0,1.0164157904166273,2.5257733035503533,0.050298440119370055,0,0,0,0.015172242251813017,-0.4157526461975552,-2.5486137498699866,1.25
27,0,0.20911164892626938,2.650396765357741,0.9052812198527416,0,0,0,0,0,0,1.25
