tag,type,x,y,z,vx,vy,vz,fx,fy,fz,radius
148,0,1.7527190512287156,0.053074174788315366,1.697980736782773,0,0,0,0,0,0,1.25
4,0,0.1235269357403763,0.03933600726594461,1.6988229432726278,0,0,0,0,0,0,1.25
169,0,2.520700787788347,2.5131244211260615,0.051696068836719504,0,0,0,0,0,0,1.25
196,0,1.715676910166343,3.3495246090747655,1.688493596782824,0,0,0,0,0,0,1.25
171,0,1.711038458881921,2.5269665902643266,0.8590411837963541,0,0,0,0,0,0,1.25
150,0,2.5599445207758893,0.05696290226615957,2.5118929206440526,0,0,0,0,0,0,1.25
146,0,2.5417489135324423,0.037071937467088804,0.8691194275930063,0,0,0,0,0,0,1.25
172,0,1.7196782805849042,1.7078795270834823,1.683880161720562,0,0,0,0,0,0,1.25
153,0,2.542798931014322,0.8875161164900756,3.328427188550431,0.03221573589778853,0.06341562839873778,-0.013575058206979152,0.8309639001482761,1.654398785011346,-0.365835268780118,1.25
6,0,0.9482737634758331,0.08583675303473033,2.5173647114898885,0.004878019479196407,0.20343986164120142,-0.11113894563996328,0.14494743966954182,4.764695627164239,-2.870195883084963,1.25
8,0,0.11698018474696521,0.09035604412900501,3.3176733557728855,0.024391849957291132,-0.06860474469079463,-0.06246144792575541,0.871926965777531,-1.4415930087500066,-2.113482628002391,1.25
30,0,0.9311613748244661,1.7097723489195498,2.509962504934608,0.11892270163470674,-0.0012692386938121941,-0.029419519824717053,5.867615912078487,3.3471109649870896,-0.8555662307842037,1.25
295,0,3.3418179712281746,0.8754481470179701,2.5113497703079464,-0.0004306472367771719,0.03954592371624192,0.008172841283344301,0.055489415936299885,1.5348056677227984,0.2952274259020621,1.25
147,0,1.7544203664896818,0.9066482238392264,0.8602761658616788,0.006089357500994027,0.01527753680360864,0.014091928188620014,0.24303301230698637,0.5852991587196412,0.5316637358733047,1.25
315,0,3.334581890249142,2.519924668560414,0.8689768787709997,-0.006586064726583556,0.009642585222533518,0.023866783137996426,-0.24039609559441882,0.3977465770815938,0.901739185328039,1.25
7,0,0.19000147675929047,0.942402479167084,2.5211890855983485,3.179118936706987,1.9231505565863665,0.36732788842948894,100.01515175601288,62.0203076206924,17.42620432669096,1.25
177,0,2.5349485606882847,2.532796371507058,3.339105120949889,-0.0004419266327430456,0.0016371048337750851,-0.0012962079026390045,-0.028832019243619948,0.1131736221030333,-0.0898828859184427,1.25
24,0,0.06591439429116784,1.7571823133126327,0.07695641902373594,0.038476736499642526,0.03964116789267226,0.0032448690485887338,2.4149833008317785,2.579268554557597,0.206881672874065,1.25
291,0,3.3292103941783404,0.8742485942488167,0.8637442310750194,-0.003487891822358962,0.017626729128744863,0.011028639710770295,-0.21466088102198985,1.1490207444562568,0.7042723011731684,1.25
176,0,1.72913598294604,1.7151185613377247,3.3341044613054023,0.01163756005193201,0.0069835448665975415,-0.003911983742403568,0.7477033159278519,0.45297753489287906,-0.2510517980929968,1.25
292,0,3.323073928900523,0.043483828789971944,1.706561176151411,0.003798394398589074,0.00838834309964111,0.0026246597801231025,0.8707919202100785,1.7698167610085989,0.5440396916080712,1.25
152,0,1.7803137116238081,0.0733034343877055,3.307253253055405,0.016795558104502506,0.011211622112745942,-0.006432431303482598,3.321736883160793,2.233865693025445,-1.271799344316593,1.25
2,0,0.9760797663125284,0.13835556359319967,0.8668402047547392,0.006457837190299399,-0.0006135936633864422,-0.0020452814554233075,1.2902948116317614,-0.10500546806955396,-0.4091323507103071,1.25
288,0,3.326325044836325,0.04479168570285018,0.0335862612469031,0.0032278534049702216,0.010034766053636297,0.0012116560258909092,0.6437079803877788,1.9967663579667443,0.24634167049767308,1.25
144,0,1.7988693598414702,0.11013148824355445,0.029707080697345185,0,0,0,0,0,0,1.25
175,0,1.7163320834020417,2.5350998043884325,2.5086286730640257,0,0,0,0,0,0,1.25
27,0,0.07497087390859475,2.551827113353631,0.8841478408459228,0,0,0,0,0,0,1.25
151,0,1.7346369053220192,0.8857197614466157,2.508981050856731,0,0,0,0,0,0,1.25
170,0,2.532929484285063,1.7049171948561186,0.8611358136337893,0,0,0,0,0,0,1.25
25,0,0.8995758492980838,2.5278447482674555,0.0500826308774578,0,0,0,0,0,0,1.25
3,0,0.1093258558538543,0.9206481078797603,0.8747517660852102,0,0,0,0,0,0,1.25
312,0,3.3249010136628527,1.7108463197220438,0.04150864430788853,0,0,0,0,0,0,1.25
29,0,0.924901685256649,2.539616042988666,1.6565989671336054,0.054321282702431826,-0.010948130444865768,0.006539649896688416,1.0174600527217212,-0.34040297968292266,0.622080398705756,1.25
31,0,0.1949652991932091,2.5315369278635877,2.4637465204381424,-0.28790976204978036,0.01804808520988239,0.16802369831862793,-7.012159931065981,0.20798278475160514,3.869653024200869,1.25
320,0,3.348645394527744,1.7050986909174817,3.335883797323579,-0.004516023452380882,0.022296919410985685,-0.0035186167203192465,-0.08464840386662544,0.6093639851034898,-0.09169951901183286,1.25
5,0,0.9174096642297569,0.8952251040360613,1.6981419879074564,0.035273535722178485,0.01943281080133602,-0.038996386193160225,1.8815886671764364,0.47013344054641104,-2.1537342142124007,1.25
1,0,0.9290181824411433,0.9122113454720965,0.03716940113879706,0.02281484088096378,0.05198214008629011,-0.012950288486767379,0.8805363266431057,1.9467358765264995,-0.5093274950243414,1.25
32,0,0.12334113485400965,1.7346406981273745,3.308247327366427,0.09554215231988623,0.10018336999647118,-0.012868232797297053,3.358243690763542,4.1852988164061955,0.09826131181624986,1.25
192,0,1.7251914520764153,3.3289830416568003,0.049999043750925946,0.03573979314852806,-0.025761698431794593,0.011305060543560806,1.3555294921040972,-0.9755481429003549,0.3818093404642102,1.25
26,0,0.9024687492172085,1.715824233563555,0.8644225250989035,0.0348313519269182,0.001772857143921006,0.0025079127683109302,1.3628870827299666,0.09362705198772017,0.12211338336742253,1.25
198,0,2.53183101917678,3.352313096144778,2.5134866497916475,0.0014533471555162414,-0.004209358207652144,0.002235203064040299,0.10013186864570657,-0.28736536395811973,0.14585597113456827,1.25
340,0,3.3433920220952507,3.3443057150205457,1.6890556509118781,-0.00790411383406889,-0.008444910262903234,0.014221575432493498,-0.5082256720409235,-0.5411485989481886,0.9175250078485249,1.25
9,0,0.9357155521571558,0.9001415208932304,3.3332750528806656,0.03942910421168988,0.02805547539761691,-0.03973602790010317,3.4550456636126556,1.7490428118074886,-1.5536005728880342,1.25
174,0,2.53509050415183,1.7042633614914056,2.5074425215099074,-0.0007230243647819771,0.008147777680457593,0.0018603537060916334,-0.06610023161039275,0.5338282256558758,0.11186159982633578,1.25
336,0,3.3074615316808953,3.3189277686142136,0.05575974346432775,0.0014247564052561768,-0.0015026310278556574,0.0004226111511710877,0.2678242053334283,-0.3070297222771612,0.07994760875136397,1.25
33,0,0.9176356091661285,2.542229371962591,3.3265041293038227,0.015853776935497402,0.0016213590729826158,0.0014713165225112277,3.1466982363344678,0.32987555475379965,0.2723110291481467,1.25
48,0,0.1111988979804401,3.3214243096792924,0.04556086273161395,0.00057592145688197,0.0007083666823000112,-0.004005820156088016,-0.066598232400084,0.2291274233967548,-0.7900865936106172,1.25
145,0,2.5559850281134704,0.889503508500679,0.03367951240379611,0.003450627031332998,0.009702512817933662,0.0010081762346015495,0.6796244018844886,1.9195913928641755,0.20098627034302027,1.25
50,0,0.8981436152611242,3.344919959901595,0.8707673066890095,0,0,0,0,0,0,1.25
173,0,2.528322930042984,2.5248797878009537,1.684479976206006,0,0,0,0,0,0,1.25
319,0,3.349009118108831,2.525883785176303,2.5109674540625924,0,0,0,0,0,0,1.25
296,0,3.3358852921550692,0.054004735095163965,3.3282879158721945,0,0,0,0,0,0,1.25
149,0,2.5367491052154936,0.8751016333691933,1.685979064609884,0,0,0,0,0,0,1.25
194,0,2.522248719803979,3.338006417847344,0.870393438978933,0,0,0,0,0,0,1.25
168,0,1.7248614719726136,1.7091943471921183,0.03879311426827099,0,0,0,0,0,0,1.25
344,0,3.3499711657498543,3.3523083228356123,3.342018217480636,0,0,0,0,0,0,1.25
0,0,0.11161502064960564,0.14240758097714007,0.06612430276738039,0.007319163911300892,0.0006591200643678596,-0.005504538668714878,1.461871944913951,0.1386829242000469,-1.0900308709021074,1.25
316,0,3.341527423961585,1.6980448071588155,1.6846987407147869,-0.0019393315108521543,0.0037315033685593386,0.002781152009179439,-0.3887760169569767,0.7423122465647533,0.5566935028930984,1.25
28,0,0.09906018488858011,1.7381813937151511,1.6869225108200305,0.033706793870163024,-0.08407216111803668,-0.06029166577246208,1.2604208901350882,-0.9624167450420763,-1.393124575894364,1.25
328,0,3.325257623677181,1.7545175866294263,6.666063455724573,0.04846477308200723,0.012238456994386774,-0.024092394032969065,0.667943961890199,0.24904148842921664,-0.4120971984045857,1.25
36,0,0.11260468020821329,1.7467939985793763,4.9573473935741665,0.015042781085385102,0.03421351458781067,0.060699798085308204,0.5921166179367656,1.2460887190700902,2.2687264433899283,1.25
38,0,1.0169551021126961,1.8293085424007491,5.8481130414729785,0.023137443044526747,-0.08359060685920164,0.01497442309362949,0.7322380139922372,-3.1910995239574684,0.5215316540540041,1.25
157,0,2.535966792429985,0.8974489936498834,4.99048459356626,0.003730646907785882,0.014659337630551173,-0.015056060939071329,0.1692395990679183,0.5875361942490187,-0.5630184243968968,1.25
324,0,3.3405081841301003,1.7136164904192617,4.99907893689934,-0.00207034227524455,0.013034598829481343,-0.019697485338829545,-0.09769772757786772,0.5134869601066263,-0.7595474433652335,1.25
181,0,2.5380673229937343,2.540911424352953,5.001453601061387,0.015991162518593692,0.016872587707062906,-0.013306384822311619,1.0329556085685583,1.0867325200947318,-0.8620724302980163,1.25
323,0,3.348387064813218,2.5311865834663805,4.170032836198964,0.000676200744502182,0.0017985667429651561,-0.004836542526760301,0.1167843671729307,0.1365393115230936,-0.31878844238047677,1.25
183,0,1.7706841639400057,2.581043435491413,5.844393478632815,0.015128798198919026,0.009473781773252159,-0.008450819222817567,0.9392956413188243,0.5782068511608878,-0.5524641891817188,1.25
299,0,3.3379726790748547,0.8900471385868565,4.15284601709521,-0.010243472169083426,0.01667539676754391,-0.0007885952414566216,-0.7021889013804842,1.1245247057505539,-0.043142081132718786,1.25
179,0,1.719458329628222,2.5421124659872016,4.16772896197831,0.0033086898198689597,0.002531969160089423,-0.00309035690168016,0.665943480950937,0.49077779164142876,-0.6119443458075376,1.25
11,0,0.13760640048701422,0.9296694854024806,4.101174542236101,0.07450909705225328,-0.025445947068857874,-0.028369061797814753,14.529417595167956,-4.93822480407567,-5.546363125160898,1.25
41,0,0.9286241397292839,2.5651849612434803,6.69200143257533,0.02838034468975974,0.01947556406635667,-0.00030051926839321777,5.6050153628021695,3.8005488789768807,-0.04142162111042058,1.25
327,0,3.3389979967451544,2.539755668853782,5.831026132660143,0.0021771693191177544,0.0036948905008538533,-0.005169136871980583,0.4263811378616228,0.7438043562387208,-1.0327124726959642,1.25
155,0,1.756167540402818,0.9038174306649259,4.148524578762932,0,0,0,0,0,0,1.25
39,0,0.2058142392193644,2.5984003892666556,5.8390267958724245,0,0,0,0,0,0,1.25
34,0,0.9256373778179081,1.7282207770559608,4.14527309562689,0,0,0,0,0,0,1.25
12,0,0.3147377326533934,0.17592445004492618,4.893202405055684,0,0,0,0,0,0,1.25
13,0,1.0050122558922183,0.9867066729935681,4.9554320875984486,0,0,0,0,0,0,1.25
178,0,2.538868026266181,1.7158594699596275,4.165329781182349,0,0,0,0,0,0,1.25
348,0,3.343973370932171,3.351408045206783,5.002285961615893,0,0,0,0,0,0,1.25
64,0,0.08784010021652587,3.3376421434316477,6.683128418365578,0,0,0,0,0,0,1.25
154,0,2.5414526253268286,0.0583745117308718,4.120580425458899,0.04049817585566245,0.007722988860087501,-0.0009344920309349649,1.104105938158217,0.35866018540170685,-0.09328028365174879,1.25
