tag,type,x,y,z,vx,vy,vz,fx,fy,fz,radius
856,0,-63512.445754271925,-33070.678588251605,6682.360939948677,0,0,0,0,0,0,1.25
125,0,-143462.92034040793,-4794979.602359068,1661107.7691261938,0,0,0,0,0,0,1.25
495,0,-1042610.3375394582,1075433.0234543586,-280539.5180084317,0,0,0,0,0,0,1.25
425,0,-112659.26899441675,212457.7217386332,166319.54245967226,0,0,0,0,0,0,1.25
169,0,2.5518500037608205,2.5302596341138903,0.04168622689665945,0,0,0,0,0,0,1.25
320,0,3.320339845874326,1.7278225660452462,3.3292298623332486,0,0,0,0,0,0,1.25
145,0,2.5925684452685056,0.9600025463557849,0.04666532195028807,0,0,0,0,0,0,1.25
316,0,3.320859517467612,1.745680414315608,1.6829305392514764,0,0,0,0,0,0,1.25
192,0,1.7893649366916002,3.303220356882649,0.03140753286323024,-0.0002746979669511624,-0.0005487382270996516,-0.0018046364434311422,-0.11053835804182353,-0.21843102637647355,-0.7201124820828239,1.25
148,0,1.7990497203543683,0.16560689759339414,1.6961455293846845,-0.0025600407374667955,-0.009162745208800047,-0.0024302937648029137,-1.0252388392255072,-3.660669541239855,-0.9721642454894882,1.25
33,0,1.03029252507364,2.556307515193088,3.3463908962284843,0.001700879828539642,-0.0016835758524851334,0.002050840229616523,0.6781134852473127,-0.6720789172984319,0.8192908104463297,1.25
315,0,3.3170763724808072,2.5351222532376987,0.8693793172123017,-0.005419226586243301,0.00002699396324236129,-0.007713736078796852,-2.184972428528701,0.009908755702697863,-3.103964514205849,1.25
336,0,3.306248488356494,3.2940107614511724,0.04009154479642612,0.0010553405354668769,-0.002422838226561728,-0.0027499360885660023,0.4224803399921576,-0.9624198284959691,-1.0993283642162386,1.25
27,0,0.18377404700457212,2.6635465543159,0.9057860147809178,0.007192137767472593,0.002130792748675248,-0.015049746387177999,2.8516792976087855,0.8580035110098636,-5.98350629989814,1.25
291,0,3.3438541929411745,0.9631332111370131,0.8512277926353226,0.00014327457311857138,0.0010927290784229285,-0.000662870789326679,0.05494760693801462,0.4345229514486275,-0.2658091682670225,1.25
26,0,0.9952551845448115,1.7948817452582186,0.8667337746124628,-0.00007474762619724906,-0.0007470031859862845,0.0004000662198289442,-0.028850944994181837,-0.2983429274490016,0.15951013307144138,1.25
6,0,1.0327098396553296,0.23617052215070655,2.546993622528833,-0.009332875291980713,-0.00400963873173938,0.0020103366942609262,-3.7254619311391592,-1.5974476455287596,0.8056113557737631,1.25
152,0,1.8430139054844548,0.10338853942211818,3.272001091767121,0.0021293797932282147,0.0018783094235023249,-0.0011682866782544502,0.7923439464395611,0.7517216207843824,-0.45623232584036344,1.25
2,0,1.0880233400274433,0.1653841943556256,0.7868421124472039,0.0019134238273329275,-0.006673296715451923,0.0015149301441642208,0.765407118484593,-2.664914955412344,0.6038189168870408,1.25
194,0,2.5464685136521057,3.3099304767154045,0.875458159033488,0,0,0,0.4051811764788193,-0.4521397819536595,-0.7241640746896729,1.25
295,0,3.3283984235007793,0.9168609661994217,2.5101943132890985,0,0,0,0.45829189390547054,1.3690686211894403,-0.04297820591976831,1.25
7,0,0.25666588132806584,1.0904634050043989,2.528355573267213,0,0,0,-2.773485901123927,-4.746478073560849,0.5193731408972587,1.25
146,0,2.6237703410667397,0.12265557551608205,0.8542916924342315,0,0,0,0.8303477666399345,0.4788304887742716,-0.496257615951429,1.25
29,0,0.9964992133991537,2.5541262518180177,1.7059295726373804,0,0,0,0.607188634121028,-0.23505541835054572,-0.3257484247642078,1.25
340,0,3.3177242499907615,3.321675640022195,1.6938662702762937,0,0,0,0,0,0,1.25
200,0,1.8181641176562682,3.3351221559783824,3.341053753142805,0,0,0,0,0,0,1.25
174,0,2.5741627661239317,1.747703665773231,2.5044998727474708,0,0,0,0,0,0,1.25
177,0,2.58365063977494,2.5490264432014977,3.3393411797066737,0,0,0,0,0,0,1.25
5,0,1.0300213655987975,0.9919258009637815,1.6903046305644351,0,0,0,0,0,0,1.25
196,0,1.7995155342314744,3.3286338594214007,1.7079200256981968,0,0,0,0,0,0,1.25
3,0,0.28657148660177445,0.9611551501972417,0.865460748820307,0,0,0,0,0,0,1.25
30,0,1.0632389303717737,1.7896695196044352,2.5205159938308626,0,0,0,0,0,0,1.25
168,0,1.7997551109493541,1.7623634457552464,0.04437819528729503,0.0017375901662378518,-0.00013378381236867464,-0.0018950633479570623,0.6938069359485071,-0.05168181115330972,-0.7558903861330926,1.25
172,0,1.8019790231593287,1.7557275212948613,1.6832443113234072,0.0032597360325028225,0.00032195624428293565,0.0012851201759453222,1.3011805502269336,0.12796983421990585,0.5138427640923922,1.25
149,0,2.5876143202071193,0.9311221572625783,1.6795099633657287,0.0005858580827841322,-0.0016393431581659863,0.0013246495143694498,0.22506919516346474,-0.6572579442079163,0.521805061532548,1.25
176,0,1.8308090344865258,1.7694564030961495,3.331421312957648,0.00021484922681526555,-0.0009844286390706173,0.0010924310646001122,0.08305955264079772,-0.39856771106910793,0.43815078692931303,1.25
292,0,3.3237039136372455,0.06670337327940495,1.7223892949451207,-0.0008793501937095011,-0.00007700915841533762,-0.0020810532955851837,-0.3500347730627519,-0.028939743859381917,-0.8720865003628528,1.25
24,0,0.08768382148996824,1.9346324778233708,0.13024878100198528,0.0003112893803355954,-0.005295669982354212,-0.0021588104353570904,0.12429904727209973,-2.1019910995975493,-0.8459577706634462,1.25
153,0,2.5714491121207272,0.927784772532611,3.312121732142532,0.0016268117588981832,-0.005895364268817978,-0.0024119075855791776,0.8133379622975394,-2.5208091750266943,-0.9468840995863379,1.25
198,0,2.578669022513155,3.342003853827663,2.5230212783413792,0.007216863169869617,0.001022337801081801,0.0023486062221713963,2.8638973224346747,0.4022506368062205,0.9353026173915141,1.25
0,0,0.2688247361687257,0.1854268409442759,0.03884532832621909,0.0023968680230551554,-0.000559767973863789,-0.0059813870226905295,0.957835619189328,-0.22072970364002886,-2.3867826686010645,1.25
56,0,0.22631755947669766,3.313038863612418,3.342265527743861,0.0008006319543550012,0.0006402548512846562,0.006299765036966396,0.32778703855738156,0.25109999262468335,2.517348268098727,1.25
173,0,2.5599767869455743,2.5397642626301122,1.69467832080466,0.0016932673771176774,-0.001006627606587057,-0.0001990995463381433,0.6764911562704622,-0.40024841539189254,-0.07980279087891093,1.25
31,0,0.21882137087118864,2.504315123785317,2.556119691309031,0,0,0,0.7868300698714052,1.7537609413618376,0.9527266657452236,1.25
4,0,0.39852223852813046,0.10416676048225178,1.632036105789861,0,0,0,-2.7421250754361672,1.4720326920337952,4.253222614159089,1.25
144,0,1.8606186895210777,0.14623363878424184,0.01032272976506381,0,0,0,0.06948858267975067,0.6768107536556618,-0.9868843231812098,1.25
319,0,3.3204874303224408,2.5404026192144165,2.509980851745605,0,0,0,3.303445708793808,2.065842634171438,-0.349962956833689,1.25
1,0,1.0182255288117184,1.0214676610088131,0.04774634187640294,0,0,0,0.25847327533719366,-0.6573408892793632,-2.1460374190207805,1.25
25,0,1.0110557513803655,2.5342018373119064,0.030304769946902597,0,0,0,0,0,0,1.25
170,0,2.5687231759616647,1.7471631129266616,0.8679515559062558,0,0,0,0,0,0,1.25
147,0,1.813552087043654,0.9642662287755133,0.8630812602133703,0,0,0,0,0,0,1.25
50,0,1.065715317637992,3.319253387983721,0.8739992354939502,0,0,0,0,0,0,1.25
9,0,1.0614591441932155,0.990135016326672,3.3511419166499867,0,0,0,0,0,0,1.25
151,0,1.8251995482272825,0.9671830359526794,2.5005329862372925,0,0,0,0,0,0,1.25
175,0,1.8127620907708883,2.5640141476421507,2.518562094701717,0,0,0,0,0,0,1.25
150,0,2.573134762056531,0.09920800538855643,2.489617066791364,0,0,0,0,0,0,1.25
171,0,1.7971646191318889,2.5252584055577523,0.8746464407270944,0,0,0,0.186668123530397,0.4310434321345918,-0.34978318355033977,1.25
54,0,1.0112553218370297,3.333948986265796,2.5264578766992516,0.0007136432101392176,-0.0009949339903076709,0.0009014880639855618,0.2832936791431968,-0.39648609938965074,0.36121105378706825,1.25
312,0,3.3265285030668266,1.7647485971319272,0.03464640874148379,0.0014664351437582435,-0.00019593401876492417,-0.00235500071586776,0.5834910096908443,-0.07781143509257621,-0.941609292947575,1.25
38,0,1.0927242409127422,1.8314105044554116,5.878443916253385,0,0,0,0.5329205521436104,-0.3236874182733145,0.39567578376065027,1.25
183,0,1.8352879675229856,2.6033086233232203,5.837586253107026,0.00045226343910445994,0.00041028688184815157,0.0005483550590478536,0.17844350008608792,0.16090196733515347,0.2200352309203141,1.25
36,0,0.40900765560462654,1.763813654800456,5.037597692833212,0.03499761125174357,0.00006808187651493492,0.0231787526987099,13.899567632335492,0.010141862661096734,9.209269378859197,1.25
40,0,0.2870423846132716,1.843585618048509,6.674377293930418,0.0042378406856460205,0.02061963056706032,-0.01946738068865427,1.6873764149338597,8.273411860541689,-7.817057161561583,1.25
179,0,1.8255224914527748,2.5767512092011358,4.16718304917498,0.0003930944266282653,-0.0011700581704935876,0.0008321710911663527,0.15181187167343427,-0.47188622313196615,0.3325042557415352,1.25
178,0,2.578310407797342,1.770391681024892,4.167501811680808,-0.00011525583961633386,-0.0003708628721896212,0.00036125094885464733,-0.044056778093987184,-0.152870242524107,0.1450046281604521,1.25
155,0,1.8549003562586441,0.9693142459255459,4.143055367262354,0.0019495729657930103,-0.0005862889974461631,-0.0010218762435189185,0.7788524738308275,-0.23563771141291817,-0.4061836871882639,1.25
324,0,3.336943468761087,1.7505384088950036,4.986743709377989,-0.0011595482694680222,0.0009082926658497258,0.0011162290293626755,-0.4619817736066346,0.35938467486162723,0.44628132870271553,1.25
8,0,0.40355482032020834,0.11089257954584965,3.5410060306023214,0.0015936911973939414,0.000011590395243577522,0.00026120321473564355,0.6325580206264577,0.004181617172054342,0.10380002657659038,1.25
182,0,2.5785828658649264,1.7839182315313384,5.825324029295935,0,0,0,-0.03715061090106181,0.031281257635673715,0.45781069133141816,1.25
185,0,2.574985925232699,2.621565420965996,6.67521994406847,0,0,0,0.255940553214531,-0.5150804922326273,0.165316116262699,1.25
344,0,3.308831943198929,3.307733583944813,3.3934682785151433,0,0,0,-11.784533127045997,-24.4223530665601,39.61674360078777,1.25
184,0,1.8544296236737625,1.8203976084502564,6.690536138679125,0,0,0,-0.0719431475531844,0.0008881596163933885,0.3080030702600425,1.25
58,0,1.0466367280171087,3.3508375498801417,4.1585909392210345,0,0,0,0,0,0,1.25
303,0,3.328671942801944,0.9586265013824545,5.813474796895667,0,0,0,0,0,0,1.25
