tag,type,x,y,z,vx,vy,vz,fx,fy,fz,radius
10,0,2.454241732334431,1.0529282428292905,3.2805528215886905,1.5387145085073481,-1.0894741108753496,-1.2926110616830222,-2.810772917973277,-20.175921035669113,13.194876999991585,1.25
340,0,3.347433107509909,3.3522519227171905,1.6810418625614911,0,0,0,0,0,0,1.25
315,0,3.349972742019549,2.5176655555518277,0.8497486345226282,0,0,0,0,0,0,1.25
29,0,0.8380674311729113,2.517061240415307,1.6864659079135684,0,0,0,0,0,0,1.25
198,0,2.504813767757838,3.352065939671842,2.5134677572607966,0,0,0,0,0,0,1.25
152,0,1.7261807712452875,0.16063479058473007,3.244032394243634,-1.9059866007559392,0.6328793223975695,0.22609388500746933,-3.139672016414902,-18.533807987144893,14.177516800442799,1.25
2,0,0.8352320805021787,0.0038035860191332205,0.8394867118062699,0,0,0,0,0,0,1.25
147,0,1.6762725201496327,0.8348705809483672,0.8398257180970194,0,0,0,0,0,0,1.25
168,0,1.822625677575532,1.7963648008782442,0.0014028897376032745,0,0,0,0,0,0,1.25
146,0,2.511023995237414,0.001740724339363453,0.8444533707664945,0,0,0,0,0,0,1.25
25,0,0.8421075614441769,2.3988356848263006,0.00663186585104647,0,0,0,0,0,0,1.25
50,0,0.830780264663332,3.351133354868578,0.8373049486610693,0,0,0,0,0,0,1.25
9,0,0.8846720378522548,0.9132861484915296,3.2310366577930694,-0.08634890504420896,-0.31378400615713764,1.516518508385877,9.115813093489118,-20.89608912452847,10.227409066205732,1.25
32,0,0.222945304857479,1.6727095913399896,3.2615529958174676,1.6057296161017838,1.1992439157382138,0.8589413077882377,-59.09305867537533,-6.807338452391667,29.084468945793848,1.25
173,0,2.510051311614003,2.521812686084534,1.6659101933990623,0,0,0,0,0,0,1.25
31,0,0.004516941080428438,2.515077663373825,2.5226068297075805,0,0,0,0,0,0,1.25
26,0,0.841396088414271,1.6709416522791898,0.8322860052579948,0,0,0,0,0,0,1.25
291,0,3.3475463334337867,0.829301563368201,0.8427815286287874,0,0,0,0,0,0,1.25
5,0,0.8390246018995438,0.8322926756239823,1.6768266832908534,0,0,0,0,0,0,1.25
148,0,1.673236421033737,0.0007298548402214777,1.6731790105711983,0,0,0,0,0,0,1.25
