source,page,stage,vertical_load_factor,horizontal_load_factor,disc_count,density,radius_census,basis
Cundall_and_Strack_1979,61,A,1.00000,1.00000,197,2000,"40:6;35:7;30:16;25:33;20:33;18:36;15:28;10:38","Fig. 10(a) digitized disc configuration; baseline"
Cundall_and_Strack_1979,61,B,1.04348,0.95652,197,2000,"40:6;35:7;30:16;25:33;20:33;18:36;15:28;10:38","paper: increase vertical force and decrease horizontal force by 4.348 percent"
