modified_weber_min,modified_weber_max,breakage_min,breakage_max,mass_min,mass_max,source
0,150,-0.20,0.25,0.75,1.05,"Yang et al. 2019 AIChE J. Fig. 13 low-We*/mostly-intact envelope"
225,500,0.45,1.05,0.00,0.65,"Yang et al. 2019 AIChE J. Fig. 13 post-transition/high-breakage envelope"
