velocity,weber,modified_weber,initial_contacts,min_contacts,breakage_ratio,min_largest_fragment_mass_ratio,bonds_broken
2.0,47.22222222222222,59.02777777777778,13.0,13.0,0.0,1.0,0.0
3.0,106.25,132.8125,13.0,13.0,0.0,1.0,0.0
4.0,188.88888888888889,236.11111111111111,13.0,2.0,0.8461538461538461,0.5,4.0
5.0,295.1388888888889,368.92361111111114,13.0,2.0,0.8461538461538461,0.5,4.0
