velocity,modified_weber,breakage_ratio,breakage_ref,breakage_abs_err,min_largest_fragment_mass_ratio,mass_ref,mass_abs_err,reference_pass
2.0,59.02777777777778,0.0,0.029861111111111116,0.029861111111111116,1.0,0.9527777777777778,0.047222222222222165,1.0
3.0,132.8125,0.0,0.211875,0.211875,1.0,0.8346875,0.16531249999999997,1.0
4.0,236.11111111111111,0.6,0.45777777777777784,0.14222222222222214,0.5,0.5227777777777778,0.022777777777777786,1.0
5.0,368.92361111111114,0.6,0.62203125,0.022031250000000058,0.5,0.23864583333333333,0.26135416666666667,1.0
